State Name,District Name,Block Name,Panchayat Name,Total Registered HH,Total Registered Persons,SC HH,SC Persons,ST HH,ST Persons,Male Persons,Female Persons
PUNJAB,PATIALA,GHANAUR,NATHU MAJRA,89,127,67,97,0,0,67,60
PUNJAB,PATIALA,GHANAUR,PIPAL MANGOLI,137,188,39,58,0,0,81,107
PUNJAB,PATIALA,GHANAUR,RAIPUR,46,75,27,49,0,0,46,29
PUNJAB,PATIALA,GHANAUR,RAMPUR,177,300,130,229,0,0,137,163
PUNJAB,PATIALA,GHANAUR,RAO MAJRA,56,67,8,9,0,0,42,25
PUNJAB,PATIALA,GHANAUR,RASULPUR,50,74,3,5,0,0,45,29
PUNJAB,PATIALA,GHANAUR,RURKA,118,237,62,108,1,4,111,126
PUNJAB,PATIALA,GHANAUR,RURKI,93,173,51,114,0,0,92,81
PUNJAB,PATIALA,GHANAUR,SAHAL,222,262,107,139,0,0,121,141
PUNJAB,PATIALA,GHANAUR,SALEMPUR SEKHAN,240,289,44,49,0,0,101,188
PUNJAB,PATIALA,GHANAUR,SALEMPUR JATTAN,123,191,82,134,0,0,97,94
PUNJAB,PATIALA,GHANAUR,SAMASH PUR,114,120,75,80,0,0,47,73
PUNJAB,PATIALA,GHANAUR,SANDHARSHI,288,347,211,252,0,0,139,208
PUNJAB,PATIALA,GHANAUR,SANJAR PUR,118,156,46,58,0,0,53,103
PUNJAB,PATIALA,GHANAUR,SANOLIAN,228,322,41,52,0,0,166,156
PUNJAB,PATIALA,GHANAUR,SARALA KALAN,228,296,123,161,0,0,139,157
PUNJAB,PATIALA,GHANAUR,SARALA KHURD,211,306,150,223,0,0,133,173
PUNJAB,PATIALA,GHANAUR,SEEL,209,329,65,108,1,2,153,176
PUNJAB,PATIALA,GHANAUR,SEIKHPUR RAJPUTA,77,128,44,90,0,0,78,50
PUNJAB,PATIALA,GHANAUR,SEKHU PUR,131,196,79,117,0,0,86,110
PUNJAB,PATIALA,GHANAUR,SHAH PUR RAIAN,14,17,0,0,0,0,9,8
PUNJAB,PATIALA,GHANAUR,SIALU,68,133,32,69,2,2,65,68
PUNJAB,PATIALA,GHANAUR,SOGALPUR,98,116,15,16,0,0,63,53
PUNJAB,PATIALA,GHANAUR,SONE MAJRA,102,161,42,58,0,0,83,78
PUNJAB,PATIALA,GHANAUR,SONTA,159,226,83,121,0,0,87,139
PUNJAB,PATIALA,GHANAUR,UKSI,34,41,28,35,0,0,17,24
PUNJAB,PATIALA,GHANAUR,UNTSAR,178,262,99,147,0,0,132,130
PUNJAB,PATIALA,GHANAUR,ZARIKPUR,132,216,63,107,0,0,105,111
PUNJAB,PATIALA,NABHA,ABHEPUR,64,101,39,74,0,0,52,49
PUNJAB,PATIALA,NABHA,ACHAL,208,250,116,145,0,0,101,149
PUNJAB,PATIALA,NABHA,AGETA,139,201,102,156,1,1,105,96
PUNJAB,PATIALA,NABHA,AGETI,162,285,102,176,0,0,135,150
PUNJAB,PATIALA,NABHA,AGOL,256,416,204,348,0,0,194,222
PUNJAB,PATIALA,NABHA,AKALGARH,55,70,34,45,1,1,40,30
PUNJAB,PATIALA,NABHA,ALHORAN,230,277,141,177,0,0,112,165
PUNJAB,PATIALA,NABHA,ALHORAN KHURD,118,140,99,120,0,0,44,96
PUNJAB,PATIALA,NABHA,ALIPUR,170,203,92,114,0,0,78,125
PUNJAB,PATIALA,NABHA,BABARPUR,171,280,116,193,0,0,129,151
PUNJAB,PATIALA,NABHA,BARRE,33,56,28,49,0,0,26,30
PUNJAB,PATIALA,NABHA,BAURAN KALAN,256,347,206,277,0,0,120,227
PUNJAB,PATIALA,NABHA,BAURAN KHURD,212,321,177,274,0,0,135,186
PUNJAB,PATIALA,NABHA,BAZIDRI,24,59,15,41,0,0,36,23
PUNJAB,PATIALA,NABHA,BEHBALPUR,128,178,102,143,0,0,85,93
