VILLAGE_ID,VILLAGE_NAME,GP_ID,GP_NAME,BLOCK NAME,DISTRICT NAME,STATE NAME,TOTAL - COMMUNITY COMPOST PITS,TOTAL - VEHICLES FOR COLLECTION & TRANSPORTATION OF WASTE,TOTAL - WASTE COLLECTION AND SEGREGATION SHEDS IN THE VILLAGE,TOTAL - SEGREGATION BINS AT COMMUNITY PLACES IN THE VILLAGE,TOTAL - COMMUNITY BIO-GAS PLANTS - UNDER OTHER SCHEMES,TOTAL - COMPOST PITS,TOTAL - BIOGAS PLANTS,TOTAL - FEEDING TO CATTLE,TOTAL - HOUSEHOLD BINS,TOTAL - COMMUNITY SOAK/LEACH/MAGIC PITS,TOTAL - DRAINAGE FACILITY AVAILABLE IN VILLAGE,TOTAL - COMMUNITY GREY WATER MANAGEMENT SYSTEMS,TOTAL - LEACH PITS,TOTAL - MAGIC PITS,TOTAL - SOAK PITS,TOTAL - KITCHEN GARDEN,TOTAL - DUCKWEED POND,ODF DECLARATION STATUS
35777,Virk Khurd,10721,VIRK KHURD,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,
35653,ADAMPURA,10786,ADAMPURA,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
35645,AKLIA JALAL,10787,AKLIA JALAL,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
35649,DYALPUR BHAIKA,235962,BASTI SURJITPURA,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,This village is NOT declared as ODF-Plus
35641,BHODIPURA,10790,BHODIPURA,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
35639,BURJ LADHA SINGH WALA,10793,BURJ LADHA SINGH,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
35637,BURJ THROR,10795,BURJ THROAR,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,
35649,Dyalpura Bhaika,10799,DIALPURA BHAIKA,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,
35658,Dyalpura Mirza,10800,DIALPURA MIRZA,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
35650,GAUNSPURA,10802,GAUNS PURA,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
35657,GUMTI KALAN,10804,GUMTI KALAN,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
35649,DYALPURA BHAIKA,235963,GURDIT SINGH WALA,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,This village is NOT declared as ODF-Plus
35646,GURUSAR,10805,GURUSAR,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
35643,HAKAM SINGH WALA,10806,HAKAM SINGH WALA,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
35647,HAMIRGARH,10807,HAMIR GARH,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
35648,JALAL,10809,JALAL,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,
35651,KANGAR,10811,KANGAR,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,
35640,KESAR SINGH WALA,10812,KESAR SINGH WALA,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
35644,KOER SINGHWALA,10813,KOER SINGH WALA,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,
35640,NAWAN KESAR SINGH WALA,235960,NAWAN KESAR SINGH WALA,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,This village is NOT declared as ODF-Plus
35634,NEOR,10816,NEOR,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
35654,RAJGARH,10822,RAJGARH,BHAGTA BHAIKA ( 227 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
