VILLAGE_NAME,PANCHAYAT_NAME,BLOCK_NAME,DISTRICT_NAME,STATE_NAME,TOTAL_POPULATION,SC_POPULATION,ST_POPULATION,GEN_POPULATION,NO._OF_HABITATIONS,IS_PWS_AVAILABLE,JJM_STATUS,HAR_GHAR_JAL_CERTIFICATE,TOTAL_HOUSEHOLDS,TOTAL_TAP_CONNECTIONS
Sirie Wala,Sirie Wala,Bhagta Bhaika,Bathinda,Punjab,5335.0,2785.0,0.0,2550.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,918.0,918.0
ABLU,ABLU,GONIANA,Bathinda,Punjab,7966.0,2762.0,0.0,5204.0,7.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1378.0,1378.0
AKLIAN KALAN,Akalian Kalan,GONIANA,Bathinda,Punjab,4807.0,2109.0,0.0,2698.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,810.0,810.0
AKLIAN KHURD,AKLIAN KHURD,GONIANA,Bathinda,Punjab,547.0,77.0,0.0,470.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,104.0,104.0
AMARGARH,AMARGARH,GONIANA,Bathinda,Punjab,1173.0,458.0,0.0,715.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,211.0,211.0
BALHAR BINJU,Balahar Binjhu,GONIANA,Bathinda,Punjab,2309.0,888.0,0.0,1421.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,458.0,458.0
BALHAR MEHMA,Balahar Mehma,GONIANA,Bathinda,Punjab,1935.0,744.0,0.0,1191.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,393.0,393.0
BARKANDI,BARKANDI,GONIANA,Bathinda,Punjab,1482.0,840.0,0.0,642.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,225.0,225.0
BHOKHRA,BHOKHRA,GONIANA,Bathinda,Punjab,4399.0,2102.0,0.0,2297.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,837.0,837.0
DAN SINGH WALA,DAN SINGH WALA,GONIANA,Bathinda,Punjab,3392.0,1137.0,0.0,2255.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,642.0,642.0
GANGA,GANGA,GONIANA,Bathinda,Punjab,3249.0,1146.0,0.0,2103.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,584.0,584.0
GILL PATTI,GILL PATTI,GONIANA,Bathinda,Punjab,3406.0,1635.0,0.0,1771.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,592.0,592.0
GONIANA KALAN,GONIANA KALAN,GONIANA,Bathinda,Punjab,2329.0,678.0,0.0,1651.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,421.0,421.0
GONIANA KHURD,GONIANA KHURD,GONIANA,Bathinda,Punjab,2366.0,1081.0,0.0,1285.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,445.0,445.0
HAR RAI PUR,Har Raipur Alias Bhokhri,GONIANA,Bathinda,Punjab,4353.0,1623.0,0.0,2730.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,894.0,894.0
JANDAN WALA,JANDAN WALA,GONIANA,Bathinda,Punjab,5286.0,1829.0,0.0,3457.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,999.0,999.0
JEEDA,JEEDA,GONIANA,Bathinda,Punjab,5574.0,2202.0,0.0,3372.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1057.0,1057.0
KHEMUANA,KHEMUANA,GONIANA,Bathinda,Punjab,3104.0,1453.0,0.0,1651.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,603.0,603.0
KHIALIWALA,KHIALIWALA,GONIANA,Bathinda,Punjab,3091.0,1298.0,0.0,1793.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,553.0,553.0
KILLI NIHAL SINGH,Kili Nihal Singh,GONIANA,Bathinda,Punjab,3054.0,1528.0,0.0,1526.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,674.0,674.0
MEHMA BHAGWANA,MEHMA BHAGWANA,GONIANA,Bathinda,Punjab,1463.0,617.0,0.0,846.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,328.0,328.0
MEHMA SARJA,MEHMA SARJA,GONIANA,Bathinda,Punjab,7990.0,3259.0,0.0,4731.0,8.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1553.0,1553.0
MEHMA SARKARI,MEHMA SARKARI,GONIANA,Bathinda,Punjab,1686.0,583.0,0.0,1103.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,318.0,318.0
MEHMA SWAI,MEHMA SWAI,GONIANA,Bathinda,Punjab,5236.0,2363.0,0.0,2873.0,6.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1086.0,1086.0
NEHIAN WALA,Nahian Wala,GONIANA,Bathinda,Punjab,6911.0,2826.0,0.0,4085.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1285.0,1285.0
SIVIAN,SIVIAN,GONIANA,Bathinda,Punjab,6296.0,2710.0,0.0,3586.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1185.0,1185.0
Bagher Charat Singh,Bagair Charat Singh,Maur,Bathinda,Punjab,1153.0,424.0,0.0,729.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,242.0,242.0
Bagher Mohabat,Bagair Mohabatsingh,Maur,Bathinda,Punjab,931.0,333.0,0.0,598.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,182.0,182.0
Bhai Bakhtaur,Bhai Bakhtaur,Maur,Bathinda,Punjab,2736.0,1468.0,0.0,1268.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,524.0,524.0
Burj,Burj,Maur,Bathinda,Punjab,2770.0,1473.0,0.0,1297.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,515.0,515.0
Burj Sema,Burj Sema,Maur,Bathinda,Punjab,1766.0,586.0,0.0,1180.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,352.0,352.0
Chanarthal,Chanarthal,Maur,Bathinda,Punjab,2832.0,1226.0,0.0,1606.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,514.0,514.0
Chathe Wala,Chathe Wala,Maur,Bathinda,Punjab,2839.0,761.0,0.0,2078.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,535.0,535.0
Dhan Singh Khana,Dhan Singh Khana,Maur,Bathinda,Punjab,2179.0,847.0,0.0,1332.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,432.0,432.0
Gehri Bara Singh,Gehri Bara Singh,Maur,Bathinda,Punjab,1739.0,778.0,0.0,961.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,292.0,292.0
Ghaso Khana,Ghaso Khana,Maur,Bathinda,Punjab,730.0,223.0,0.0,507.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,132.0,132.0
Ghuman Kalan,Ghuman Kalan,Maur,Bathinda,Punjab,5882.0,1910.0,0.0,3972.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1074.0,1074.0
Ghuman Khurd,Ghuman Khurd,Maur,Bathinda,Punjab,925.0,199.0,0.0,726.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,190.0,190.0
Jodhpur Pakhar,Jodhpur Pakhar,Maur,Bathinda,Punjab,4898.0,2039.0,0.0,2859.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,962.0,962.0
Kamalu,Kamalu,Maur,Bathinda,Punjab,2240.0,985.0,0.0,1255.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,394.0,394.0
Kot Bhara,Kot Bhara,Maur,Bathinda,Punjab,2794.0,1040.0,0.0,1754.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,537.0,537.0
Kotli Khurd,Kotli Khurd,Maur,Bathinda,Punjab,3228.0,958.0,0.0,2270.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,643.0,643.0
Kutiwal Kalan,Kutiwal Kalan,Maur,Bathinda,Punjab,2125.0,582.0,0.0,1543.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,412.0,412.0
Kutiwal Khurd,Kutiwal Khurd,Maur,Bathinda,Punjab,1840.0,312.0,0.0,1528.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,341.0,341.0
Maisar Khana,Maisar Khana,Maur,Bathinda,Punjab,4945.0,1771.0,0.0,3174.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,942.0,942.0
Manak Khana,Manak Khana,Maur,Bathinda,Punjab,590.0,81.0,0.0,509.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,113.0,113.0
Mansa Kalan,Mansa Kalan,Maur,Bathinda,Punjab,3397.0,1111.0,0.0,2286.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,598.0,598.0
Mari,Mari,Maur,Bathinda,Punjab,1027.0,263.0,0.0,764.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,210.0,210.0
Maur Charat Singh,Maur Charat Singh,Maur,Bathinda,Punjab,2957.0,1527.0,0.0,1430.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,541.0,541.0
Natt,Natt,Maur,Bathinda,Punjab,1437.0,559.0,0.0,878.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,227.0,227.0
Rai Khana,Rai Khana,Maur,Bathinda,Punjab,2076.0,503.0,0.0,1573.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,393.0,393.0
Rajgarh Kube,Rajgarh Kube,Maur,Bathinda,Punjab,4644.0,1637.0,0.0,3007.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,950.0,950.0
Ram Nagar,Ram Nagar,Maur,Bathinda,Punjab,5065.0,2666.0,0.0,2399.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,817.0,817.0
Ramgarh Bhunder,Ramgarh Bhunder,Maur,Bathinda,Punjab,1984.0,770.0,0.0,1214.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,396.0,396.0
Sandoha,Sandoha,Maur,Bathinda,Punjab,3781.0,1461.0,0.0,2320.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,840.0,840.0
Sukha Singh Wala,Sukha Singh Wala,Maur,Bathinda,Punjab,968.0,502.0,0.0,466.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,162.0,162.0
Swaitch,Swaitch,Maur,Bathinda,Punjab,1463.0,181.0,0.0,1282.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,254.0,254.0
Thaman Garh,Thaman Garh,Maur,Bathinda,Punjab,1339.0,556.0,0.0,783.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,235.0,235.0
Yatri,Yatri,Maur,Bathinda,Punjab,1277.0,495.0,0.0,782.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,254.0,254.0
Bajoana,Bajoana,Nathana,Bathinda,Punjab,2073.0,603.0,0.0,1470.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,385.0,385.0
Bath,Bath,Nathana,Bathinda,Punjab,1536.0,586.0,0.0,950.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,278.0,278.0
Bhaini,Bhaini,Nathana,Bathinda,Punjab,3223.0,1513.0,0.0,1710.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,552.0,552.0
Bhucho Kalan,Bhucho Kalan,Nathana,Bathinda,Punjab,8242.0,2442.0,0.0,5800.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1590.0,1590.0
Bhucho Khurd,Bhucho Khurd,Nathana,Bathinda,Punjab,5330.0,2429.0,0.0,2901.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1035.0,1035.0
Bibiwala,Bibiwala,Nathana,Bathinda,Punjab,3437.0,853.0,0.0,2584.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,580.0,580.0
Burj Dalla,Burj Dalla,Nathana,Bathinda,Punjab,405.0,110.0,0.0,295.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,79.0,79.0
Burj Kahan Singh Wala,Burj Kahan Singh Wala,Nathana,Bathinda,Punjab,2246.0,1269.0,0.0,977.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,426.0,426.0
Chak Bakhtu,Chak Bakhtu,Nathana,Bathinda,Punjab,3215.0,1305.0,0.0,1910.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,562.0,562.0
Chak Fateh Singh Wala,Chak Fateh Singh Wala,Nathana,Bathinda,Punjab,4504.0,2504.0,0.0,2000.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,806.0,806.0
Chak Ram Singh Wala,Chak Ram Singh Wala,Nathana,Bathinda,Punjab,3332.0,1222.0,0.0,2110.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,604.0,604.0
Dhelwan,Dhelwan,Nathana,Bathinda,Punjab,2129.0,856.0,0.0,1273.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,358.0,358.0
Ganga,Ganga,Nathana,Bathinda,Punjab,2746.0,1080.0,0.0,1666.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,475.0,475.0
Gidder,Giddar,Nathana,Bathinda,Punjab,2740.0,778.0,0.0,1962.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,446.0,446.0
Gobindpura,Gobindpura,Nathana,Bathinda,Punjab,8027.0,2659.0,0.0,5368.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1428.0,1428.0
Joganand,Joganand,Nathana,Bathinda,Punjab,2267.0,885.0,0.0,1382.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,431.0,431.0
Kalyan Malki,Kalyan Malka,Nathana,Bathinda,Punjab,1820.0,418.0,0.0,1402.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,324.0,324.0
Kalyan Sadda,Kalyan Sadda,Nathana,Bathinda,Punjab,1993.0,1113.0,0.0,880.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,365.0,365.0
Kalyan Sukha,Kalyan Sukha,Nathana,Bathinda,Punjab,3935.0,1442.0,0.0,2493.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,714.0,714.0
Lehra Bega,Lehra Bega,Nathana,Bathinda,Punjab,3332.0,1034.0,0.0,2298.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,614.0,614.0
Lehra Dhurkot,Lehra Dhurkot,Nathana,Bathinda,Punjab,2965.0,1466.0,0.0,1499.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,561.0,561.0
Lehra Khana,Lehra Khana,Nathana,Bathinda,Punjab,2118.0,703.0,0.0,1415.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,404.0,404.0
Lehra Mohabat,Lehra Mohabat,Nathana,Bathinda,Punjab,10126.0,3982.0,0.0,6144.0,6.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1994.0,1994.0
Lehra Sondha,Lehra Sondha,Nathana,Bathinda,Punjab,1578.0,468.0,0.0,1110.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,263.0,263.0
Mari,Mari,Nathana,Bathinda,Punjab,1263.0,536.0,0.0,727.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,210.0,210.0
Nathpura,Nathpura,Nathana,Bathinda,Punjab,2893.0,1162.0,0.0,1731.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,555.0,555.0
Poohla,Poohla,Nathana,Bathinda,Punjab,5694.0,2336.0,0.0,3358.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1223.0,1223.0
Poohli,Poohli,Nathana,Bathinda,Punjab,4370.0,2344.0,0.0,2026.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,848.0,848.0
Sema,Sema,Nathana,Bathinda,Punjab,4766.0,2088.0,0.0,2678.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,850.0,850.0
Tungwali,Tungwali,Nathana,Bathinda,Punjab,7452.0,2630.0,0.0,4822.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1436.0,1436.0
Alike,Alike,Phul,Bathinda,Punjab,2290.0,1047.0,0.0,1243.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,451.0,451.0
Burj Gill,Burj Gill,Phul,Bathinda,Punjab,2621.0,1107.0,0.0,1514.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,445.0,445.0
Dhinger,Dhinger,Phul,Bathinda,Punjab,1546.0,513.0,0.0,1033.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,284.0,284.0
Dhapali,Dhipali,Phul,Bathinda,Punjab,7005.0,1846.0,0.0,5159.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1886.0,1886.0
Dulewala,Dulewala,Phul,Bathinda,Punjab,2695.0,970.0,0.0,1725.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,512.0,512.0
Ghanda Bana,Ghanda Bana,Phul,Bathinda,Punjab,2716.0,941.0,0.0,1775.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,531.0,531.0
Harnam Singh Wala,Harnam Singh Wala,Phul,Bathinda,Punjab,1426.0,454.0,0.0,972.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,260.0,260.0
Kaloke,Kaloke,Phul,Bathinda,Punjab,946.0,269.0,0.0,677.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,162.0,162.0
Phule Wala,Phule Wala,Phul,Bathinda,Punjab,2140.0,816.0,0.0,1324.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,424.0,424.0
RAYIA,RAYIA,Phul,Bathinda,Punjab,4703.0,1120.0,0.0,3583.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,864.0,864.0
Sidhana,Sadhana,Phul,Bathinda,Punjab,2214.0,844.0,0.0,1370.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,439.0,439.0
