village_id,village_name,gp_id,gp_name,block_name,district_name,state_name,sanit_community_compost_pits,sanit_vehicles_for_collection_&_transportation_of_waste,sanit_waste_collection_and_segregation_sheds_in_the_village,sanit_segregation_bins_at_community_places_in_the_village,sanit_community_bio-gas_plants_-_under_other_schemes,sanit_compost_pits,sanit_biogas_plants,sanit_feeding_to_cattle,sanit_household_bins,sanit_community_soak/leach/magic_pits,sanit_drainage_facility_available_in_village,sanit_community_grey_water_management_systems,sanit_leach_pits,sanit_magic_pits,sanit_soak_pits,sanit_kitchen_garden,sanit_duckweed_pond,sanit_odf_declaration_status,pai_overall_pai_score,pai_overall_grade,pai_overall_category,pai_t1_poverty_free_score,pai_t1_poverty_free_grade,pai_t1_poverty_free_category,pai_t2_healthy_score,pai_t2_healthy_grade,pai_t2_healthy_category,pai_t3_child_friendly_score,pai_t3_child_friendly_grade,pai_t3_child_friendly_category,pai_t4_water_sufficient_score,pai_t4_water_sufficient_grade,pai_t4_water_sufficient_category,pai_t5_clean_green_score,pai_t5_clean_green_grade,pai_t5_clean_green_category,pai_t6_self_sufficient_score,pai_t6_self_sufficient_grade,pai_t6_self_sufficient_category,pai_t7_socially_just_score,pai_t7_socially_just_grade,pai_t7_socially_just_category,pai_t8_good_governance_score,pai_t8_good_governance_grade,pai_t8_good_governance_category,pai_t9_women_friendly_score,pai_t9_women_friendly_grade,pai_t9_women_friendly_category,water_total_population,water_sc_population,water_st_population,water_gen_population,water_no_of_habitations,water_is_pws_available,water_jjm_status,water_har_ghar_jal_certificate,water_total_households,water_total_tap_connections,mgnrega_total_registered_hh,mgnrega_total_registered_persons,mgnrega_sc_hh,mgnrega_sc_persons,mgnrega_st_hh,mgnrega_st_persons,mgnrega_male_persons,mgnrega_female_persons
35776,Virk Kalan,10720,VIRK KALAN,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,66.59,B,Performer,77.13,A,Front Runner,74.65,B,Performer,75.78,A,Front Runner,72.13,B,Performer,50.01,C,Aspirant,54.5,C,Aspirant,80.53,A,Front Runner,65.88,B,Performer,52.63,Unknown,Unknown,2751.0,860.0,0.0,1891.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,538.0,538.0,312.0,669.0,207.0,457.0,0.0,0.0,346.0,323.0
35777,Virk Khurd,10721,VIRK KHURD,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,66.72,B,Performer,73.95,B,Performer,87.86,A,Front Runner,72.41,B,Performer,61.8,B,Performer,50.47,C,Aspirant,60.63,B,Performer,82.19,A,Front Runner,63.93,B,Performer,52.63,Unknown,Unknown,2158.0,1153.0,0.0,1005.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,429.0,429.0,452.0,987.0,413.0,920.0,0.0,0.0,501.0,486.0
35765,Ablu,10668,ABLU,GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,53.9,C,Aspirant,83.18,A,Front Runner,65.58,B,Performer,74.0,B,Performer,64.76,B,Performer,44.25,C,Aspirant,25.01,D,Beginner,79.64,A,Front Runner,30.82,D,Beginner,54.05,C,Aspirant,7966.0,2762.0,0.0,5204.0,7.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1378.0,1378.0,415.0,872.0,362.0,769.0,0.0,0.0,430.0,442.0
35759,Aklian Kalan,10669,AKALIAN KALAN,GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,58.51,C,Aspirant,78.08,A,Front Runner,81.95,A,Front Runner,58.74,C,Aspirant,66.41,B,Performer,47.8,C,Aspirant,37.41,D,Beginner,79.13,A,Front Runner,38.32,D,Beginner,59.34,C,Aspirant,4807.0,2109.0,0.0,2698.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,810.0,810.0,634.0,945.0,538.0,792.0,0.0,0.0,400.0,545.0
35760,Aklian Khurd,10670,AKLIA KHURD,GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,49.02,C,Aspirant,69.89,B,Performer,80.22,A,Front Runner,66.39,B,Performer,48.89,C,Aspirant,34.42,D,Beginner,41.11,C,Aspirant,66.84,B,Performer,15.47,D,Beginner,61.4,B,Performer,547.0,77.0,0.0,470.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,104.0,104.0,36.0,54.0,24.0,38.0,0.0,0.0,29.0,25.0
35753,Amargarh,10671,AMAR GARH,GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,49.58,C,Aspirant,71.98,B,Performer,83.62,A,Front Runner,51.15,C,Aspirant,56.93,C,Aspirant,32.78,D,Beginner,33.33,D,Beginner,74.85,B,Performer,25.16,D,Beginner,50.16,C,Aspirant,1173.0,458.0,0.0,715.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,211.0,211.0,119.0,236.0,104.0,210.0,0.0,0.0,115.0,121.0
35752,Balhar Binju,10675,BALAHAR BINJHU,GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,57.79,C,Aspirant,76.03,A,Front Runner,86.57,A,Front Runner,61.43,B,Performer,56.68,C,Aspirant,57.52,C,Aspirant,41.11,C,Aspirant,77.21,A,Front Runner,36.25,D,Beginner,47.42,C,Aspirant,2309.0,888.0,0.0,1421.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,458.0,458.0,256.0,530.0,224.0,479.0,1.0,2.0,241.0,289.0
35761,Balhar Mehma,10676,BALAHAR MEHMA,GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,58.11,C,Aspirant,62.93,B,Performer,82.0,A,Front Runner,69.29,B,Performer,62.55,B,Performer,48.92,C,Aspirant,38.89,D,Beginner,79.2,A,Front Runner,40.28,C,Aspirant,55.69,C,Aspirant,1935.0,744.0,0.0,1191.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,393.0,393.0,386.0,622.0,239.0,439.0,0.0,0.0,352.0,270.0
35763,WARKANDI,10678,BARKANDI,GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,46.39,C,Aspirant,53.2,C,Aspirant,68.46,B,Performer,72.5,B,Performer,64.6,B,Performer,51.53,C,Aspirant,27.78,D,Beginner,70.06,B,Performer,15.85,D,Beginner,36.73,D,Beginner,1482.0,840.0,0.0,642.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,225.0,225.0,293.0,618.0,200.0,439.0,0.0,0.0,342.0,276.0
35741,BHOKHRA,277574,BHOKHRA KHURD,GONIANA ( 7333 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,This village is NOT declared as ODF-Plus,47.69,C,Aspirant,69.24,B,Performer,88.72,A,Front Runner,59.17,C,Aspirant,59.62,C,Aspirant,33.45,D,Beginner,26.67,D,Beginner,83.73,A,Front Runner,16.09,D,Beginner,49.01,C,Aspirant,4399.0,2102.0,0.0,2297.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,837.0,837.0,142.0,248.0,111.0,198.0,0.0,0.0,104.0,144.0
