Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
CHUTEHRA (36229),Gajewas (19) ( 244246 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gajewas (36203),Gajewas (93) ( 19146 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
GAZIPUR (36213),GAZIPUR ( 19147 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
GHANGROULI (36178),GHANGROLI ( 19148 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GHIORA (36232),GHEORA ( 19238 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KULARAN (36182),GOBIND NAGAR KULARAN ( 260829 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gurdialpura (36160),GURDIAL PURA ( 19149 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
SAMANA(RURAL) (36200),GURU NANAK NAGAR ( 19150 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHMANA (36202),GURU TEG BAHADUR NAGAR ( 244235 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARCHANDPURA (36296),HARCHAND PURA (TOWN) ( 19151 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Harchandpura (36296),HARCHANDPURA ( HAVELI) ( 19152 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
BADSHAHPUR (KALEKI) (36224),JAITU PATTI ( 260825 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jamalpur (36193),JAMALPUR / RAIN MAJRA ( 19153 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
Kadrabad (36207),KADRABAD ( 19181 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kahangarh Bhutna (36201),KAHANGARH ( 19154 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
Kakra (36196),KAKRA ( 244230 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kakrala (36161),KAKRALA ( 19155 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KULBURCHHA (36208),KALBURCHHAN ( 19156 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Kamalpur (36231),KAMALPUR ( 19249 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kamaspur (36190),KAMASPUR ( 19157 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
KHANPUR GAHRIAN (36216),KHANPUR GARHIAN ( 19158 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAGWANPURA ALIAS KHATRIWALA (36181),KHATRIWALA / BHAGWANPURA ( 19159 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
KHERI BHIMA (36209),KHERI BHIMAN ( 19160 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Kheri Fattan (36227),KHERI FATTAN ( 19161 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
KHERI NAGAHIYA (36300),KHERI NAGAIAN ( 19162 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,,
DANIPUR (36215),KHUDADAPURA ( 19163 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotla Nasru (36191),KOTLA NASRU ( 19164 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,44,0,0,1,0,0,0,0,0,0
Kotli (36185),KOTLI ( 19165 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kularan (36182),KULARAN ( 19166 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,3,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Kutbanpur (36199),KUTBAN PUR ( 19182 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Bahadurgarh (80) (36218),LALGARH ( 19167 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Lalgarh (36198),LALGARH ( 19167 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LUTKI MAJRA URF JORAMAJRA (36174),LUTKI MAJRA ( 19168 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
MAJRI (36212),MAJRI ( 19169 ),SAMANA ( 330 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
