Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
MIRPUR (32657),MIR PUR ( 11262 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULANPUR (32578),Mullan Pur Sadik ( 11264 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MULLANPUR (32625),Mullanpur ( 11263 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUSTFABAD (32618),MUSTFA BAD ( 11265 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NANDPUR (32563),NAND PUR ( 11267 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NAHANHERI (32605),NANHERI ( 11266 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LACHHMANGARH (32601),NANUWAL ( 11268 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NANUWAL (32602),NANUWAL ( 11268 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAR SINGH PURA (32604),NAR SINGH PURA ( 11269 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOGAWAN (32607),NOGAWAN ( 11271 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RAIPUR GUJRAN (32568),RAI PUR GUJRAN ( 11272 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAILY (32570),RAILI ( 11273 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAILLON (32564),RAILON ( 11274 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAMPURKALERAN (32606),RAM PUR KALERAN ( 11275 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RASULPUR (32591),RASUL PUR ( 11276 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rupalheri (32549),RUPAL HERI ( 11277 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RURAL TALANIAN (32656),RURAL TALANIAN ( 236089 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SADAKPUR (32577),SADIKPUR ( 11278 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHAHZADPUR (32634),SHAHZADPUR ( 236088 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHAHIDGARH (32589),SHAIDGARH ( 11279 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SHEHZADPUR (32572),SHEHZADPUR ( 11280 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SHERGARH BARA (32561),SHER GARH BARA ( 11281 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SHIVDASPUR (32573),SHIV DAS PUR ( 11282 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAKANDARPUR (32603),SIKANDER PUR ( 11283 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THABLAN (32612),THABLAN ( 11285 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UDALPUR (32626),UDAL PUR ( 11286 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
