Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
NASIBPURA (56) (KAILE BANDAR) (35841),NASIBPURA ( 10917 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NATHEHA (35918),NATHEHA ( 10932 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,3,1,1,0,0,2,0,0
NATT (35896),NATT ( 273784 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
PHULLO KHARI (35852),PHULO KHARI ( 10933 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Ramsra (35850),RAMSRA ( 10934 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
RAM TIRATH JAGA (35901),RAMTIRATH JAGA ( 10935 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0
RAYA (35914),RAYIA ( 10936 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
SANGAT KHURD (35904),SANGAT KHURD ( 10937 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
SINGO (35908),SINGO ( 10939 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Sukhladhi (35847),SUKHLADHI ( 10940 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,6,0,0,0,0,0,1,1,0,0,0,0,0
Tarkhanwala (35849),TARKHAN WALA ( 10941 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
TEONA PUJARIAN (35905),TEONA PUJARIAN ( 10942 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
TUNGWALI (35856),TUNGRALI ( 10943 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
