Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
MALOWAL (32821),MALO WAL ( 11181 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mangarh (32857),MANGARH ( 11182 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARARRU (32805),MARARRU ( 11183 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,
MAHMUDPUR (32838),MEHMOOD PUR ( 11184 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIANPUR (32852),MIANPUR ( 293859 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUNDERIAN (32876),MUDHRIAN ( 11186 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MUGAL MAJRA (32886),MUGAL MAJRA ( 236081 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NARAINGARH (32875),NARAIN GARH ( 11187 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NURPURA (32808),NURPUR ( 11188 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
PAHERI (32827),PAHERI ( 11189 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RAIPURRAIAN (32848),RAI PUR RAIAN ( 11191 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAIPUR CHOBDARAN (32829),Raipur Chobdaran ( 11190 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJGARH CHHANNA (32817),RAJGARH CHHANNA ( 11193 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RAMGARH (32846),RAM GARH ( 11194 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RANGHERA KALAN (32802),RANGHERI KALAN ( 11195 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RANGHERA KHURD (32803),RANGHERI KHURD ( 11196 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RATTAN PALON (32845),RATTAN PALON ( 11197 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RAYEWAL (32820),RAYEWAL ( 11192 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0
RURKI (32832),RURKI ( 11198 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SALANA DULLA SINGH WALA (32847),Salana Dara Singh ( 11199 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
