Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Lang (36511),LANG ( 18859 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Langroi (36600),LANGROI ( 19262 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Maddo Majra (36638),MADO MAJRA ( 19263 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Main (36602),MAIN ( 19265 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MALO MAJRA (36562),MALO MAJRA ( 18861 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAVI SAPAN (36641),MAVI SAPPAN ( 19268 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mehmadpur (36580),MEHMADPUR ( 18863 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
MUNDKHERA (36519),MOOND KHERA ( 18868 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RAKHRA (36520),NAWAN RAKHRA ( 289434 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAKALA (36632),NEW DAKALA ( 244247 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KHERI GUJRAN (36833),NEW KHERI ( 277561 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
