Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
MASINGAN (36783),MASSINGAN ( 18365 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Bahadurpur Namakgiran (36779),MEHMAN ( 18370 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAHEWAN (36780),MEHMAN ( 18370 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Salempur Balian (310) (36781),MEHMAN ( 18370 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mehmudpur (36707),MEHMOOD PUR ( 18366 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
MEHMOODPUR JATTAN (36543),MEHMUDPUR JATTAN ( 18367 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
MEHMUDPUR RURKI (36719),MEHMUDPUR RURKI ( 18368 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
MEHAUN (36735),MEHON ( 18369 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mehtabgarh (36746),METAB GARH ( 18371 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mohalgarh (36770),MOHALGARH ( 18373 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAKHMAILPUR (36775),MUKHMAILPUR ( 18372 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Nain Kalan (36614),NAIN KALAN ( 18374 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bir Kule Majra (143) (36608),NAIN KHURD ( 18375 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Nain Khurd (36615),NAIN KHURD ( 18375 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NARAINGARH BASAWA SINGHWALA (36748),NARAIN GARH / BASAWA SINGH WALA ( 18376 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NARAINGARH URF MAJRA (36692),NARAIN GARH / KOHLE MAJRA ( 18377 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NAURANGWALA URF NARAINGARH (36824),NARANGWAL ( 18378 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RASULPUR URF DUNDI MAJRA (36784),NAWAN BAHADARGARH ( 18288 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Niamatpur (36772),NAYAMATPUR ( 18379 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NIJAMPUR (36690),NIZAMPUR ( 18380 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
NOORPUR FARANSWALA (36739),NOORPUR FRANSWALA ( 18381 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
AUJHAN (36747),OJHAN ( 18382 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
PALAKHA (36793),PALAKHA ( 18383 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Panjeta (36670),PANJETA ( 18384 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ROSHANPUR (36744),PATTI JHUNGIAN ( 18385 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ROSHANPUR (36744),PATTI KARTARPUR ( 18386 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
