Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Naina (37008),NAINAN ( 19073 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Nalas Kalan (37012),NALAS KALAN ( 19074 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Nalas Khurd (37013),NALAS KHURD ( 19075 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
NADIALI (39224),Nandiali ( 19076 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NARAINGARH (39370),NARAIN GARH ( 19078 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
PARAO UGANA (36998),PADAO ( 19084 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,99,0,0,0,0,0,0,0,0,0
Pilkhani (36967),PILKHANI ( 19087 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ramnagar (37047),RAM NAGAR ( 19088 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RAM NAGAR URF SAUNTI (36989),RAM NAGAR / SAUNTI ( 19089 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,41,0,0,0,0,0,0,0,0,0
RAMGARH URF BUTA SINGHWALA (39222),RAMGARH/BUTA SINGH WALA ( 19090 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,,
Rampur Kalan (39233),RAMPUR KALAN ( 19093 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Rampur Khurd (37049),RAMPUR KHURD ( 19091 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Rangian (37006),RANGIAN ( 19092 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SADHRAUR (37024),SADHROR ( 19094 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SADHROR MAJRI (37024),SADHROR MAJRI ( 19095 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,2,2,0,0,0,0,40,0,0,1,0,0,0,0,0,0
Salempur (39244),SALEMPUR NAGAL ( 19098 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sarai Banjara (36995),SARAI BANJARA ( 19099 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,63,0,0,1,0,0,0,0,0,0
SARAI BANJARA (36995),SARAI BANJARA BASTI ( 244264 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Shamdoo (37057),SHAMDO ( 19102 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SHAMDO (37057),SHAMDO CAMP ( 19103 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sural Kalan (37010),SURAL KALAN ( 19104 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Sural Khurd (37011),SURAL KHURD ( 19105 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,57,0,0,1,0,0,0,0,0,0
TASAOLI (39217),TASAULI ( 19108 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,,
Ucha Khera (37035),UCHA KHERA ( 19110 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ugana (36999),UGANA ( 19111 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Ugani (37007),UGANI ( 19112 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
UKSI (36926),UKSI ( 19113 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kanwarpur (37002),UKSI JATTAN ( 19114 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
UPAL HERI (37001),UPAL HERI ( 19115 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
UPAL HERI (37001),UPPALHERI KHURD ( 244267 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Urdan (37039),URDAN ( 19116 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Urna (37030),URNA ( 19117 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Uksi (36983),USKI ( 18638 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Wazirabad (37028),WAZIRABAD ( 19118 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,53,0,0,0,0,0,0,0,0,0
