Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
LAKHANPUR (32963),LAKHAN PUR ( 11325 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LOHAR MAJRA KHURD (32921),LOHAR MAJRA KHURD ( 11326 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHESHPURA (32951),MAHESHPUR ( 11327 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAJRI (32911),MAJRI ( 11328 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MANPUR (32926),MAN PUR ( 11329 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),2,3,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0
MANELA (32966),MANAILA ( 11331 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANELI (32972),MANALI ( 11332 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANDERAN (32960),MANDERAN ( 11330 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANSOORPUR (32965),MANSURPUR ( 11333 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MIRPUR (32913),MIR PUR ( 11334 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),2,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
MOHANMAJRA (32932),MOHAN MAJRA ( 11335 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NANGLAN (32947),NAGLAN ( 11336 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NANOWAL (32978),NANO WAL ( 11337 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANECHAN (32929),PANAICHA ( 11338 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANJKOHA (32924),PANJ KOHA ( 11339 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,8,0,0,0,3,1,0,0,0,0,0
POLOMAJRA (32928),POLO MAJRA ( 11340 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
