Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Ghurkewal (38802),JINDANPUR ( 19512 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Malana (110) (38804),JINDANPUR ( 19512 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Saidpur (38805),JINDANPUR ( 19512 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
TAPARIAN RASHIDPUR (38803),JINDANPUR ( 19512 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ZINDANPUR (38798),JINDANPUR ( 19512 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Kahanpur (38828),KAHANPUR ( 19470 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KISHANPURA (38830),KAHANPUR ( 19470 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHAK AMAR SINGH (38863),KANDHOLA ( 19471 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Haron (38860),KANDHOLA ( 19471 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KATLAUR (38862),KATLAUR ( 19472 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0
Khanpur (38838),KHANPUR ( 19473 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Khokhar (38819),KHOKHAR ( 19474 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0
Khera (38832),KIRI AFGANA ( 19475 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Kiri Afghana (38833),KIRI AFGANA ( 19475 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KOTLA BET (38831),KIRI AFGANA ( 19475 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kotla Sarmukh Singh (38829),KOTLA SURMUKH SINGH ( 19476 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kotli (38877),KOTLI ( 19477 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
BAMAN (38776),KULIAN ( 19478 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kullian (38783),KULIAN ( 19478 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Makowal (38807),MAKOWAL ( 19479 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAKOWAL (38807),MAKOWAL (NAWAN) ( 19480 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bara Makrauna (38873),MAKRAUNA KALAN ( 19481 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,2,0,0,0,2,2,0,0,0,0,0
