Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
PUNIA JATTAN (36811),POONIAN JATTAN ( 19277 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Raipur (36546),RAIPUR ( 18875 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasulpur Jorran (36505),RASULPUR JAURA ( 18879 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Rathian (36814),RATHIAN ( 19281 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RITH KHERI (36479),REETHKHERI ( 18882 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAURA (36549),RISHI COLONY ( 277559 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAHIB NAGAR URF THERI (29) (PART) (36537),SAHIB NAGAR THERI ( 19283 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sefdipur (36534),SAIFDIPUR ( 18886 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SALEMPUR BRAHMANA (36621),SALAIMPUR BRAHAMANA ( 19284 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Salempur Jattan (36664),SALAIMPUR JATTAN ( 19285 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Safera (36607),SAPHERA ( 19286 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nasirpur (36539),SEKHUPUR KAMBOAN ( 18891 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SHEKHPURA (36540),SEKHUPUR KAMBOAN ( 18891 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SHAMASPUR (36542),SHAMSPUR ( 18893 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,2,2,0,0,0,0,23,0,0,1,1,0,0,0,0,0
Shankarpur (36493),SHANKARPUR ( 18894 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
SANIAR HERI (36553),SUNIAR HERI ( 19293 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
GOBINDPUR URF SANIARHERI (36486),Suniar Heri / Gobindpur ( 18888 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,46,0,0,0,0,0,0,0,0,0
SAHIB NAGAR URF THERI (36537),URBAN NAGAR ( 244245 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KAR HERI (36536),VIDYA NAGAR ( 260801 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
