Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
BHAKU MAJRA (38852),BHAKHU MAJRA ( 19966 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
BHANGLAN (38656),BHANGLAN ( 19970 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JHANDIAN (38655),BHANGLAN ( 19970 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAOWAL (38595),BHAOWAL ( 19967 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAUWAL (38680),BHAOWAL HD BS 55 ( 245185 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHARATGARH (38599),BHARATGARH ( 19968 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHEORA (38703),BHEORA ( 19969 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bikkon (38629),BIKKON ( 19972 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
INDERPURA (38626),BIKKON ( 19972 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BALAWALPUR (38639),BILAWALPUR ( 19973 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
BINDRAKH (38759),BINDRAKH ( 19974 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BRAHMAN MAJRA (38744),BRAHMAN MAJRA ( 19975 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Budha Bhora (38682),BUDHA BHORA ( 19976 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHAK DHERA (38612),CHAK DHERA ( 19977 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Chak Karman (38652),CHAK KARMA ( 19978 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHAKLAN (38897),CHAKLAN ( 19979 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CHANDPUR (38638),CHANDPUR ( 19980 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHAUNTA KALAN (38850),CHAUNTA CHHOTA ( 19982 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
CHAUNTA KHURD (38848),CHAUNTA CHHOTA ( 19982 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
CHARARIAN (38746),CHERRIAN ( 19981 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
CHINTGARH (38955),CHINTGARH ( 236677 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DOBURJI (38617),DABURJI ( 19983 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DADHI (38526),DADHI ( 19986 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NAULAKHA (38509),DADHI ( 19986 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DAKALA (38622),DAKALA ( 19984 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
DANGAULI (38651),DANGAULI ( 19985 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
DARGAH SHAH KHALID BINWALID (38665),DARGAH SHAH WALID KHALID ( 260816 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GHANAULI (CT) (38764),DASHMESH NAGAR COLONY ( 277852 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHARARIAN (38650),DHALOH ( 19987 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
Dhaloh (38649),DHALOH ( 19987 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BARA PIND (38597),DHELA BARBAS ( 260828 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DUGRI (38636),DUGRI ( 19988 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dulchi Majra (38883),DULCHI MAJRA ( 19989 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,3,0
FATEHGARH (38954),FATEHGARH CHATAULI ( 236676 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Fatehpur (38657),FATEHPUR ( 236670 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
FATEHPUR BUNGA (38506),FATEHPUR BUNGA ( 19990 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GANDHON KALAN (38709),GANDHON KALAN ( 19991 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BARI JHAKHIAN (38594),GAZIPUR BAS ( 19992 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ghanaula (38628),GHANAULA ( 236672 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GHANAULI (CT) (38764),GHANAULI ( 19993 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Gobindpur (38690),GOBINDPURA ( 19995 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SANGATPUR (38688),GOBINDPURA ( 19995 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
GOSLAN (38738),GOSLAN ( 19996 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0
GUNU MAJRA (38618),GUNNO MAJRA ( 19994 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Hardo Haripur (38529),HARDO HARIPUR ( 260834 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
